Time,ID,Spreader,Audience,SP,Originalsp,AudienceKnownRumours,Rumour Target,sentiment,TotalRumours
05/27/2021 20:52:22:511081,1,Frank Fitzgerald,Charles Benavidez,3,79,1,Rosa Schroeder,-64,2
05/27/2021 20:52:22:635536,2,Bryan Reed,Cynthia Stanier,13,13,1,Cary Becker,-174,4
05/27/2021 20:52:22:656767,3,Rosa Schroeder,Shirley Couture,16,26,1,Brian Visitacion,-137,6
05/27/2021 20:52:22:776793,4,Ashley Rose,James Mcdougald,7,68,1,Charles Benavidez,-17,8
05/27/2021 20:52:23:038667,5,Brian Visitacion,Linda Sullivan,2,-33,1,Jonathan Stroud,118,10
05/27/2021 20:52:24:678155,6,Charles Benavidez,Frank Fitzgerald,7,8,2,Jeremiah Thompson,62,12
05/27/2021 20:52:24:819804,7,James Mcdougald,Ashley Rose,9,87,2,John Torres,19,14
05/27/2021 20:52:25:371987,8,Bryan Reed,Jeremiah Thompson,7,26,1,Frank Fitzgerald,-123,16
05/27/2021 20:52:26:480135,9,Rosa Schroeder,Linda Sullivan,19,42,2,Linda Sullivan,110,18
05/27/2021 20:52:26:596126,10,Jonathan Stroud,John Torres,5,172,1,John Torres,104,20
05/27/2021 20:52:26:884577,11,Frank Fitzgerald,Charles Benavidez,6,-19,3,Rosa Schroeder,-174,22
05/27/2021 20:52:27:283714,12,Ashley Rose,James Mcdougald,11,75,3,Brian Visitacion,159,24
05/27/2021 20:52:28:385752,13,Cary Becker,Leroy Wilson,8,-16,1,John Torres,46,26
05/27/2021 20:52:28:914442,14,Bryan Reed,Cynthia Stanier,0,33,2,John Torres,172,28
05/27/2021 20:52:29:743006,15,Frank Fitzgerald,Leroy Wilson,5,-13,2,Charles Benavidez,-198,30
05/27/2021 20:52:29:755329,16,Rosa Schroeder,James Mcdougald,12,-45,4,Leroy Wilson,144,32
05/27/2021 20:52:29:883451,17,John Torres,Jonathan Stroud,5,49,2,Frank Fitzgerald,200,34
