Time,ID,Spreader,Audience,SP,Originalsp,AudienceKnownRumours,rumour target,sentiment,TotalRumours
05/03/2021 02:14:12:084447,1,Eugene Sanders,Michael Kerr,8,85,1,Claudia Tracy,31,2
05/03/2021 02:14:12:099986,2,John Crockett,Claudia Tracy,4,73,1,Virgil Hernandez,40,4
05/03/2021 02:14:12:224244,3,Austin Betancourt,Scott Burden,5,87,1,Alison Holbrook,13,6
05/03/2021 02:14:23:627029,4,Anthony Aiton,Meredith Muir,20,83,1,Keith Hamel,86,8
05/03/2021 02:14:24:386652,5,John Crockett,Marilyn Ho,60,77,1,Anthony Aiton,11,10
05/03/2021 02:14:24:635770,6,Austin Betancourt,Marilyn Ho,2,92,2,Diana Hayes,63,12
05/03/2021 02:14:26:920328,7,John Crockett,Claudia Tracy,8,137,2,Alfonso Flemming,4,14
05/03/2021 02:14:27:180277,8,Austin Betancourt,Scott Burden,28,94,2,Diana Hayes,15,16
05/03/2021 02:14:29:485851,9,John Crockett,Marilyn Ho,9,145,3,Alison Holbrook,50,18
05/03/2021 02:14:29:744316,10,Austin Betancourt,Claudia Tracy,11,122,3,Michael Kerr,4,20
05/03/2021 02:14:32:044174,11,John Crockett,Claudia Tracy,12,154,4,Claudia Tracy,5,22
05/03/2021 02:14:32:426907,12,Austin Betancourt,Scott Burden,0,133,3,Alfonso Flemming,48,24
05/03/2021 02:14:41:457127,13,Austin Betancourt,Claudia Tracy,8,133,5,John Crockett,62,26
05/03/2021 02:14:43:816450,14,Virgil Hernandez,Elizabeth Weatherford,19,2,1,Elizabeth Weatherford,99,28
05/03/2021 02:14:44:085633,15,Austin Betancourt,Scott Burden,8,141,4,Alfonso Flemming,16,30
05/03/2021 02:14:46:676176,16,Austin Betancourt,Marilyn Ho,2,149,4,Alison Holbrook,46,32
05/03/2021 02:14:47:056916,17,Eugene Sanders,John Crockett,9,93,6,John Crockett,9,34
05/03/2021 02:14:49:012843,18,John Crockett,Eugene Sanders,1,166,3,Claudia Tracy,4,36
05/03/2021 02:14:49:287304,19,Austin Betancourt,Scott Burden,10,151,5,Keith Hamel,39,38
05/03/2021 02:14:50:200368,20,Virgil Hernandez,Alfonso Flemming,7,21,1,Alfonso Flemming,71,40
05/03/2021 02:14:50:458495,21,Michael Kerr,John Crockett,9,50,8,Claudia Tracy,76,42
05/03/2021 02:15:08:760287,22,Eugene Sanders,Michael Kerr,6,102,3,John Crockett,92,44
05/03/2021 02:15:09:785929,23,Austin Betancourt,Marilyn Ho,8,161,5,Meredith Muir,13,46
05/03/2021 02:15:10:409265,24,John Crockett,Michael Kerr,42,167,4,Meredith Muir,28,48
05/03/2021 02:15:11:274194,25,Eugene Sanders,John Crockett,2,108,10,Meredith Muir,18,50
05/03/2021 02:15:12:411199,26,Michael Kerr,Eugene Sanders,6,59,6,Marilyn Ho,29,52
05/03/2021 02:15:12:424335,27,Austin Betancourt,Scott Burden,5,169,6,Diana Hayes,39,54
05/03/2021 02:15:13:177061,28,John Crockett,Eugene Sanders,3,209,7,Austin Betancourt,99,56
05/03/2021 02:15:14:947626,29,Austin Betancourt,Marilyn Ho,9,174,6,Alfonso Flemming,9,58
05/03/2021 02:15:15:062611,30,Eugene Sanders,Michael Kerr,9,110,6,Meredith Muir,75,60
05/03/2021 02:15:15:705224,31,John Crockett,Michael Kerr,48,212,7,Alison Holbrook,61,62
05/03/2021 02:15:25:536983,32,Eugene Sanders,John Crockett,5,119,13,Marilyn Ho,2,64
